Full_name,Short_name,Topic,Type,-one,zero,one,two,three,four,five,six,seven,eight,nine,ten
Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Previous_treatment_anonymity,Benefits & support,Binary+,No,,Yes,,,,,,,,,
Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Previous_treatment_openness,Previous employer communication,Binary+,Physical health,,Mental health,,,,,,,,,
Would you have been willing to discuss your mental health with your direct supervisor(s)?,Previous_communication_supervisor,Previous employer communication,Binary+,No,,Yes,,,,,,,,,
Did you ever discuss your mental health with your previous employer?,Previous_communication_status_employer,Previous employer communication,Binary,,,,,,,,,,,,
"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Previous_communication_employer_comments,Previous employer communication,Comment,,,,,,,,,,,,
Would you have been willing to discuss your mental health with your coworkers at previous employers?,Previous_communication_coworker,Previous employer communication,Binary+,No,,Yes,,,,,,,,,
Did you ever discuss your mental health with a previous coworker(s)?,Previous_communication_status_coworker,Previous employer communication,Binary,,,,,,,,,,,,
Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Previous_communication_coworker_comments,Previous employer communication,Comment,,,,,,,,,,,,
Did you ever have a previous coworker discuss their or another coworker's mental health with you?,Previous_communication_indirect,Previous employer communication,Binary,,,,,,,,,,,,
Describe the conversation your coworker had with you about their mental health (please do not use names)._1,Previous_communication_indirect_comments,Previous employer communication,Comment,,,,,,,,,,,,
"Overall, how much importance did your previous employer place on physical health?",Previous_employer_importance_physical,Employee observations and impressions,Ordinal,,,,,,,,,,,,
"Overall, how much importance did your previous employer place on mental health?",Previous_employer_importance_mental,Employee observations and impressions,Ordinal,,,,,,,,,,,,
Do you *currently* have a mental health disorder?,Health_status,Health & diagnosis,Binary+,No,,Yes,,,,,,,,,
Have you ever been *diagnosed* with a mental health disorder?,Diagnosis_current_status,Health & diagnosis,Binary,,,,,,,,,,,,
*What disorder(s) have you been diagnosed with?*,Diagnosis_formal_specific,Health & diagnosis,Group,,,,,,,,,,,,
"*If possibly, what disorder(s) do you believe you have?*",Diagnosis_informal,Health & diagnosis,Group,,,,,,,,,,,,
"*If so, what disorder(s) were you diagnosed with?*",Diagnosis_informal_specific,Health & diagnosis,Group,,,,,,,,,,,,
Have you had a mental health disorder in the past?,Diagnosis_past_status,Health & diagnosis,Binary+,No,,Yes,,,,,,,,,
Have you ever sought treatment for a mental health disorder from a mental health professional?,Treatment_status,Health & diagnosis,Binary,,,,,,,,,,,,
Do you have a family history of mental illness?,Health_history,Health & diagnosis,Binary+,No,,Yes,,,,,,,,,
"If you have a mental health disorder, how often do you feel that it interferes with your work *when being treated effectively?*",Interference_with_effective_treatment,Productivity,Ordinal,,,Often,Sometimes,Not applicable to me,Rarely,Never,,,,,
"If you have a mental health disorder, how often do you feel that it interferes with your work *when* _*NOT*_* being treated effectively (i.e., when you are experiencing symptoms)?*",Interference_without_effective_treatment,Productivity,Ordinal,,,Often,Sometimes,Not applicable to me,Rarely,Never,,,,,
Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,Employer_openness_observations,Employee observations and impressions,Binary+,No,,Yes,,,,,,,,,
How willing would you be to share with friends and family that you have a mental illness?,Family_openness,Employee observations and impressions,Ordinal,,0,1,2,3,4,5,6,7,8,9,10
Would you be willing to bring up a physical health issue with a potential employer in an interview?,Interview_physical_openness,Employee observations and impressions,Binary+,No,,Yes,,,,,,,,,
Why or why not?,Interview_physical_openness_comments,Employee observations and impressions,Comment,,,,,,,,,,,,
Would you bring up your *mental* health with a potential employer in an interview?,Interview_mental_openness,Employee observations and impressions,Binary+,No,,Yes,,,,,,,,,
Why or why not?_1,Interview_mental_openness_comments,Employee observations and impressions,Comment,,,,,,,,,,,,
Are you openly identified at work as a person with a mental health issue?,Identity_openness,Identity,Binary,,,,,,,,,,,,
Has being identified as a person with a mental health issue affected your career?,Identity_career_impact,Identity,Binary,,,,,,,,,,,,
How has it affected your career?,Identity_career_impact_rating,Identity,Ordinal,,0,1,2,3,4,5,6,7,8,9,10
"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?",Anticipated_reaction_coworkers,Employee observations and impressions,Ordinal,,0,1,2,3,4,5,6,7,8,9,10
Have you observed or experienced an *unsupportive or badly handled response* to a mental health issue in your current or previous workplace?,Observed_unsupportive_reaction,Employee observations and impressions,Binary+,No,Maybe,Yes,,,,,,,,,
Describe the circumstances of the badly handled or unsupportive response.,Observed_unsupportive_reaction_comments,Employee observations and impressions,Comment,,,,,,,,,,,,
Have you observed or experienced a *supportive or well handled response* to a mental health issue in your current or previous workplace?,Observed_supportive_reaction,Employee observations and impressions,Binary+,No,Maybe,Yes,,,,,,,,,
Describe the circumstances of the supportive or well handled response.,Observed_supportive_reaction_comments,Employee observations and impressions,Comment,,,,,,,,,,,,
"Overall, how well do you think the tech industry supports employees with mental health issues?",Industry_supportiveness,Employee observations and impressions,Ordinal,,,1,2,3,4,5,,,,,
Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Industry_supportiveness_comment,Employee observations and impressions,Comment,,,,,,,,,,,,
"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Other_comments,Other,Comment,,,,,,,,,,,,
Would you be willing to talk to one of us more extensively about your experiences with mental health issues in the tech industry? (Note that all interview responses would be used _anonymously_ and only with your permission.),Followup_willingness,Other,Binary,,,,,,,,,,,,
What is your age?,Age,Demographics,Group,,,,,,,,,,,,
What is your gender?,Gender,Demographics,Group,,,,,,,,,,,,
What country do you *live* in?,Country_live,Demographics,Geography_world,,,,,,,,,,,,
What US state or territory do you *live* in?,US_state_live,Demographics,Geography_US,,,,,,,,,,,,
What is your race?,Race,Demographics,Group,,,,,,,,,,,,
What country do you *work* in?,Country_work,Demographics,Geography_world,,,,,,,,,,,,
What US state or territory do you *work* in?,US_state_work,Demographics,Geography_US,,,,,,,,,,,,
